login_work_mins_increment,logout_work_mins_increment,login_work_mins_increment_aggressive,logout_work_mins_increment_aggressive,round_logouts_to_rosters,round_logins_to_rosters,breaks_enabled,min_action_interval,automatic_break_length,minimum_shift_length_for_auto_breaks,append_automatic_breaks,default_passcode_length,maximum_shift_length,minimum_duration_between_shifts,copy_rosters,managers_can_see_costs,managers_can_share_rosters,managers_can_update_their_timesheets,leave_request_notifications,cost_leave_on_weekends,show_weekends,staff_have_full_timesheet_access,staff_can_edit_timesheets,staff_can_see_export_summary,approve_shifts_created_from_rosters,enable_flexi_time_zones,enable_roster_validation,roster_validation_max_length,roster_validation_min_gap,roster_validation_max_shifts_in_day,roster_validation_max_shifts_in_week,roster_validation_max_hours_in_week,roster_validation_min_length,enable_multi_level_shift_filters,expected_hours_in_pay_period,time_clock_cost_centre_mode,leave_request_default_length,enable_text_for_roster,enable_employee_leave,enable_availability,unavailability_minimum_days
15,15,TRUE,TRUE,TRUE,TRUE,TRUE,5,0,5.5,TRUE,4,14,8,FALSE,TRUE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,TRUE,38,blank,7.6,TRUE,TRUE,TRUE,4
15,15,TRUE,TRUE,TRUE,TRUE,TRUE,5,30,5.5,FALSE,4,14,8,FALSE,TRUE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,11.5,8,1,5,41,3,FALSE,38,blank,7.6,TRUE,TRUE,FALSE,4
15,15,TRUE,TRUE,TRUE,TRUE,TRUE,5,30,5.5,FALSE,4,14,8,FALSE,TRUE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,FALSE,0,blank,7.6,TRUE,TRUE,TRUE,4
15,15,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,5.5,FALSE,4,16,8,FALSE,FALSE,FALSE,FALSE,admins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,11.5,8,2,7,41,3,FALSE,40,blank,8,TRUE,TRUE,TRUE,2
300,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,30,6.02,FALSE,4,14,8,FALSE,FALSE,TRUE,TRUE,managers_and_admins,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,11.5,1,10,6,41,3,TRUE,0,blank,7.6,TRUE,TRUE,FALSE,4
15,15,TRUE,TRUE,TRUE,TRUE,TRUE,5,30,5.5,FALSE,4,14,8,FALSE,TRUE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,TRUE,0,blank,7.6,TRUE,TRUE,TRUE,4
15,15,TRUE,TRUE,TRUE,TRUE,TRUE,5,60,5.5,TRUE,4,14,8,FALSE,TRUE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,12,9,1,6,48,3,FALSE,0,blank,7.6,TRUE,TRUE,TRUE,4
15,15,TRUE,TRUE,TRUE,TRUE,TRUE,5,30,5.5,FALSE,4,14,8,FALSE,FALSE,FALSE,FALSE,admins,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,11.5,8,2,5,41,1,TRUE,38,blank,7.6,TRUE,TRUE,TRUE,4
15,15,TRUE,TRUE,TRUE,TRUE,TRUE,5,30,5.5,FALSE,4,14,8,FALSE,FALSE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,FALSE,0,blank,7.6,TRUE,TRUE,TRUE,4
15,15,TRUE,TRUE,TRUE,TRUE,TRUE,5,60,5.5,FALSE,4,8,8,FALSE,TRUE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,10,8,1,5,41,3,FALSE,0,blank,7.6,TRUE,TRUE,TRUE,4
300,300,TRUE,TRUE,TRUE,TRUE,TRUE,5,30,5.5,FALSE,4,14,8,FALSE,TRUE,TRUE,TRUE,admins,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,FALSE,0,blank,7.6,TRUE,TRUE,TRUE,4
15,15,TRUE,TRUE,FALSE,FALSE,TRUE,5,30,5.5,FALSE,4,14,8,FALSE,FALSE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,FALSE,0,blank,7.6,TRUE,TRUE,FALSE,4
15,15,TRUE,TRUE,TRUE,TRUE,TRUE,5,30,5.5,TRUE,4,14,8,FALSE,FALSE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,TRUE,0,blank,7.6,TRUE,TRUE,TRUE,4
