login_work_mins_increment,logout_work_mins_increment,login_work_mins_increment_aggressive,logout_work_mins_increment_aggressive,round_logouts_to_rosters,round_logins_to_rosters,breaks_enabled,min_action_interval,automatic_break_length,minimum_shift_length_for_auto_breaks,append_automatic_breaks,default_passcode_length,maximum_shift_length,minimum_duration_between_shifts,copy_rosters,managers_can_see_costs,managers_can_share_rosters,managers_can_update_their_timesheets,leave_request_notifications,cost_leave_on_weekends,show_weekends,staff_have_full_timesheet_access,staff_can_edit_timesheets,staff_can_see_export_summary,approve_shifts_created_from_rosters,enable_flexi_time_zones,enable_roster_validation,roster_validation_max_length,roster_validation_min_gap,roster_validation_max_shifts_in_day,roster_validation_max_shifts_in_week,roster_validation_max_hours_in_week,roster_validation_min_length,enable_multi_level_shift_filters,expected_hours_in_pay_period,time_clock_cost_centre_mode,leave_request_default_length,enable_text_for_roster,enable_employee_leave,enable_availability,unavailability_minimum_days
15,15,TRUE,TRUE,TRUE,TRUE,FALSE,5,15,5,FALSE,4,10,8,FALSE,FALSE,TRUE,TRUE,managers_and_admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,12,8,1,5,41,2,FALSE,0,blank,7.6,TRUE,TRUE,TRUE,14
15,15,TRUE,TRUE,TRUE,TRUE,TRUE,5,30,5.5,FALSE,4,14,8,FALSE,TRUE,TRUE,TRUE,managers_and_admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,TRUE,38,blank,7.6,TRUE,TRUE,TRUE,21
0,0,FALSE,FALSE,FALSE,FALSE,TRUE,5,0,0,FALSE,4,14,10,FALSE,TRUE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,FALSE,0,blank,7.6,TRUE,TRUE,FALSE,4
15,15,TRUE,TRUE,TRUE,TRUE,TRUE,5,30,5,FALSE,4,14,8,FALSE,TRUE,TRUE,TRUE,managers,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,FALSE,0,blank,7.6,TRUE,TRUE,TRUE,4
0,0,TRUE,TRUE,FALSE,FALSE,TRUE,5,60,5.5,FALSE,4,9,8,FALSE,TRUE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,FALSE,38,blank,7.6,TRUE,TRUE,FALSE,4
15,15,FALSE,FALSE,TRUE,TRUE,FALSE,5,30,5.5,FALSE,4,12,8,FALSE,FALSE,TRUE,TRUE,managers,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,12,8,1,6,60,3,TRUE,0,blank,7.6,TRUE,TRUE,FALSE,4
15,15,TRUE,TRUE,TRUE,TRUE,TRUE,5,30,5.5,FALSE,4,14,8,FALSE,FALSE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,TRUE,76,blank,7.6,TRUE,TRUE,TRUE,4
15,15,TRUE,TRUE,TRUE,TRUE,TRUE,5,0,5.5,FALSE,4,14,8,FALSE,TRUE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,TRUE,0,blank,7.6,TRUE,TRUE,TRUE,4
15,15,TRUE,TRUE,TRUE,TRUE,TRUE,5,30,5.5,FALSE,4,14,8,FALSE,FALSE,TRUE,FALSE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,11.5,8,1,5,41,3,TRUE,76,blank,8,FALSE,TRUE,TRUE,10
15,15,TRUE,TRUE,TRUE,TRUE,TRUE,5,30,5.5,FALSE,4,11,3,FALSE,TRUE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,11.5,8,1,5,41,3,FALSE,0,blank,7.6,TRUE,TRUE,FALSE,4
15,15,TRUE,TRUE,TRUE,TRUE,TRUE,5,30,5.5,FALSE,4,14,8,FALSE,TRUE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,TRUE,0,blank,7.6,TRUE,TRUE,TRUE,4
0,0,FALSE,FALSE,FALSE,TRUE,FALSE,5,45,5.02,FALSE,4,14,10,FALSE,FALSE,TRUE,FALSE,managers_and_admins,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,6,41,3,FALSE,0,blank,7.6,TRUE,TRUE,FALSE,4
15,15,TRUE,TRUE,TRUE,TRUE,FALSE,5,0,5.5,FALSE,4,14,8,FALSE,TRUE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,TRUE,38,blank,7.6,TRUE,TRUE,TRUE,4
15,15,TRUE,TRUE,TRUE,TRUE,TRUE,5,30,6,FALSE,4,14,8,FALSE,FALSE,FALSE,FALSE,admins,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,11.5,8,1,5,38,1,TRUE,38,blank,9,TRUE,TRUE,TRUE,14
15,15,TRUE,TRUE,TRUE,TRUE,TRUE,5,0,5.5,FALSE,4,14,8,FALSE,FALSE,TRUE,FALSE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,TRUE,38,blank,7.6,TRUE,TRUE,TRUE,4
15,15,TRUE,TRUE,TRUE,TRUE,TRUE,5,0,0,FALSE,4,18,4,FALSE,TRUE,TRUE,TRUE,admins,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,18,8,1,5,41,3,FALSE,0,blank,7.6,TRUE,TRUE,TRUE,4
10,10,TRUE,TRUE,TRUE,TRUE,TRUE,5,30,5.5,TRUE,4,16,4,FALSE,TRUE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,14,8,2,6,60,2.5,FALSE,0,blank,8,TRUE,TRUE,TRUE,14
15,15,TRUE,TRUE,TRUE,TRUE,TRUE,5,30,5.5,FALSE,4,14,8,FALSE,TRUE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,FALSE,0,blank,7.6,TRUE,TRUE,TRUE,4
15,15,TRUE,TRUE,TRUE,TRUE,FALSE,5,0,0,FALSE,4,14,3,FALSE,TRUE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,FALSE,38,blank,7.6,TRUE,TRUE,TRUE,4
0,0,FALSE,FALSE,FALSE,FALSE,TRUE,5,30,5.5,FALSE,4,14,8,FALSE,TRUE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,FALSE,0,blank,7.6,TRUE,TRUE,FALSE,4
10,0,TRUE,TRUE,FALSE,TRUE,FALSE,5,0,10,TRUE,4,12,10,FALSE,TRUE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,FALSE,0,blank,7.6,TRUE,TRUE,FALSE,4
0,0,FALSE,FALSE,FALSE,FALSE,TRUE,5,0,0,FALSE,4,14,8,FALSE,TRUE,TRUE,TRUE,admins,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11.5,8,1,5,41,3,FALSE,0,blank,7.6,TRUE,TRUE,FALSE,4
